"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	608	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	184	51565	356.83	305.27	408.39
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	172	23974	717.44	610.22	824.66
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	155	55543	279.06	235.13	323.00
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	2669	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	22	234557	9.38	5.88	14.20
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	26	88211	29.47	19.25	43.19
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	21	206014	10.19	6.31	15.58
	"Alameda County, CA"	"06001"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	6211	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	37	582486	6.35	4.47	8.76
	"Alameda County, CA"	"06001"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	30	223111	13.45	9.07	19.20
	"Alameda County, CA"	"06001"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	31	479041	6.47	4.40	9.19
	"Alameda County, CA"	"06001"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	6754	Suppressed	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	181	586629	30.85	26.36	35.35
	"Alameda County, CA"	"06001"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	395	259423	152.26	137.25	167.28
	"Alameda County, CA"	"06001"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	265	546327	48.51	42.67	54.35
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	13	8897	Unreliable	77.80	249.86
