"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	713	193610	368.27	341.23	395.30
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	104	775782	13.41	10.83	15.98
	"Alameda County, CA"	"06001"	"5-9 years"	"5-9"	67	967432	6.93	5.37	8.80
	"Alameda County, CA"	"06001"	"10-14 years"	"10-14"	85	936400	9.08	7.25	11.22
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	415	947362	43.81	39.59	48.02
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	768	1038495	73.95	68.72	79.18
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	861	1288105	66.84	62.38	71.31
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	1028	1335375	76.98	72.28	81.69
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	1185	1255937	94.35	88.98	99.72
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	1552	1174742	132.11	125.54	138.69
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	2427	1130986	214.59	206.05	223.13
	"Alameda County, CA"	"06001"	"50-54 years"	"50-54"	3650	1103621	330.73	320.00	341.46
	"Alameda County, CA"	"06001"	"55-59 years"	"55-59"	5582	1049511	531.87	517.91	545.82
	"Alameda County, CA"	"06001"	"60-64 years "	"60-64"	7241	912746	793.32	775.05	811.59
	"Alameda County, CA"	"06001"	"65-69 years"	"65-69"	8153	719081	1133.81	1109.20	1158.42
	"Alameda County, CA"	"06001"	"70-74 years"	"70-74"	8830	508163	1737.63	1701.39	1773.88
	"Alameda County, CA"	"06001"	"75-79 years"	"75-79"	9793	347766	2815.97	2760.20	2871.75
	"Alameda County, CA"	"06001"	"80-84 years"	"80-84"	11880	247768	4794.81	4708.59	4881.03
	"Alameda County, CA"	"06001"	"85-89 years"	"85-89"	14141	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"90-94 years"	"90-94"	12761	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"95-99 years"	"95-99"	5995	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"100+ years"	"100+"	1479	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	480	122554	391.66	356.63	426.70
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	80	528572	15.14	12.00	18.84
	"Contra Costa County, CA"	"06013"	"5-9 years"	"5-9"	58	723305	8.02	6.09	10.37
	"Contra Costa County, CA"	"06013"	"10-14 years"	"10-14"	63	761330	8.27	6.36	10.59
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	311	730277	42.59	37.85	47.32
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	568	666897	85.17	78.17	92.17
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	628	693622	90.54	83.46	97.62
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	698	719740	96.98	89.78	104.17
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	775	746308	103.84	96.53	111.16
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	1085	774319	140.12	131.79	148.46
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	1660	809211	205.14	195.27	215.01
	"Contra Costa County, CA"	"06013"	"50-54 years"	"50-54"	2665	822402	324.05	311.75	336.35
