"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	197	61920	318.15	273.72	362.58
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	35	244331	14.32	9.98	19.92
	"Alameda County, CA"	"06001"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	22	311620	7.06	4.42	10.69
	"Alameda County, CA"	"06001"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	32	301363	10.62	7.26	14.99
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	121	289326	41.82	34.37	49.27
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	211	297398	70.95	61.38	80.52
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	214	319567	66.97	57.99	75.94
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	220	314336	69.99	60.74	79.24
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	267	295372	90.39	79.55	101.24
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	310	268830	115.31	102.48	128.15
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	439	237792	184.62	167.35	201.89
	"Alameda County, CA"	"06001"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	587	201133	291.85	268.24	315.46
	"Alameda County, CA"	"06001"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	791	161394	490.10	455.95	524.26
	"Alameda County, CA"	"06001"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	827	118492	697.94	650.37	745.51
	"Alameda County, CA"	"06001"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	805	81465	988.15	919.89	1056.42
	"Alameda County, CA"	"06001"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	873	55419	1575.27	1470.77	1679.77
	"Alameda County, CA"	"06001"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	1015	38464	2638.83	2476.49	2801.17
	"Alameda County, CA"	"06001"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	1134	27619	4105.87	3866.89	4344.85
	"Alameda County, CA"	"06001"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	1349	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	978	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	448	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	185	46398	398.72	341.27	456.18
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	32	195653	16.36	11.19	23.09
	"Contra Costa County, CA"	"06013"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	22	258733	8.50	5.33	12.87
	"Contra Costa County, CA"	"06013"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	23	258003	8.91	5.65	13.38
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	115	242971	47.33	38.68	55.98
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	164	225436	72.75	61.61	83.88
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	171	221108	77.34	65.75	88.93
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	160	222351	71.96	60.81	83.11
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	178	221258	80.45	68.63	92.27
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	223	208506	106.95	92.91	120.99
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	298	187791	158.69	140.67	176.70
	"Contra Costa County, CA"	"06013"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	424	160935	263.46	238.38	288.54
	"Contra Costa County, CA"	"06013"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	559	127487	438.48	402.13	474.83
	"Contra Costa County, CA"	"06013"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	594	93801	633.26	582.33	684.18
	"Contra Costa County, CA"	"06013"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	560	64290	871.05	798.91	943.20
	"Contra Costa County, CA"	"06013"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	641	43881	1460.77	1347.68	1573.85
	"Contra Costa County, CA"	"06013"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	704	30627	2298.63	2128.83	2468.43
	"Contra Costa County, CA"	"06013"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	895	21891	4088.44	3820.58	4356.29
	"Contra Costa County, CA"	"06013"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	942	Not Applicable	Not Applicable	Not Applicable	Not Applicable
