"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	608	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	184	51565	356.83	305.27	408.39
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	172	23974	717.44	610.22	824.66
	"Alameda County, CA"	"06001"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	155	55543	279.06	235.13	323.00
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	2669	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	22	234557	9.38	5.88	14.20
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	26	88211	29.47	19.25	43.19
	"Alameda County, CA"	"06001"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	21	206014	10.19	6.31	15.58
	"Alameda County, CA"	"06001"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	3217	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	22	299881	7.34	4.60	11.11
	"Alameda County, CA"	"06001"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	12	110199	Unreliable	5.63	19.02
	"Alameda County, CA"	"06001"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	11	242515	Unreliable	2.26	8.12
	"Alameda County, CA"	"06001"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	2994	Unreliable	0.00	0.00
	"Alameda County, CA"	"06001"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	15	282605	Unreliable	2.97	8.75
	"Alameda County, CA"	"06001"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	18	112912	Unreliable	9.45	25.19
	"Alameda County, CA"	"06001"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	20	236526	8.46	5.17	13.06
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3046	Suppressed	Suppressed	Suppressed
